Right,Wrong
Charmless $B O PP $ Decays and the New Physics Effects in the Minimal Supergravity Model,Sheaf Cohomology
Lepton Jets in (Supersymmetric) Electroweak Processes,New Approaches to the Confinement Problem
The Anomalous Decay Eta -> Pi Pi Gamma Gamma,Analyzing an Isocurvature Extension of an E_6 Model With Hexaquarks
All-order Finiteness in N=1 SYM Theories: Criteria and Applications,Orientifold Schwarzschild Black Branes Formed From Collapse Are Asymmetric
"D-Branes, Pi-Stability and Theta-Stability",Metrics in Topologically Twisted CFTs Far From E_6 Singularities
New Results on the Theoretical Precision of the LEP/SLC Luminosity,A Fractional D4 Brane in the CMB Using the Solution of Localization in Scalar Models With Higgses
Long Lived Large Type II Strings: Decay Within Compactification,The Boundary-dual of General Relativity
Reply to Boglione and Pennington,A Holomorphic Instanton on the Surface of the Sun vs Dimensionality
The Renormalization Group Analysis of the Large Lepton Flavor Mixing and the Neutrino Mass,A Non-minimal Approach to the SUSY CP Problem From a Solution to the Mu/B_mu Problem Using the U(1) Problem (Taking Into Account M-point Correlators in Second-order Models With Soft Charginos)
Radiative Corrections in SUSY Phenomenology,Some Specific Computations of a Firewall During Inflation Realized via Maxwell Conditions
Gaugino Mediated Supersymmetry Breaking,F_4 Singularities at the De-Sitter Horizon
The Neutron Transversity From Semi-inclusive DIS Off 3He,Orientifold Black Branes at the Intermediate Scale and a Probe of the Reduction of QCD_3
Thermal Instability of Giant Graviton in Matrix Model on PP-wave Background,Towards Harmonic Analysis in a Supersymmetric QFT Far From a Firewall
Winding String Dynamics in a Time-Dependent Beta Deformed Background,Type IIB Strings Living on Moduli Spaces of Planar Lens Spaces Fibered Over Kahler Del-Pezzos and Causality in Type IIA Deformed by Unbounded D-terms
An Exact BPS Wall Solution in Five Dimensional Supergravity,Anyons Reexamined
Low-Energy Effective Action of N=2 Gauge Multiplet Induced by Hypermultiplet Matter,Geometric Langlands-dualities in String Theories Dimensionally Reduced on M Copies of R^6
Effective Lagrangian Approach to Weak Radiative Decays of Heavy Hadrons,Trivial Integration Cycles and Discrete Harmonic Analysis
SU(2) and SU(3) Yang-Mills Thermodynamics and Some Implications,Demystifying Models of Pions: Automorphic Forms in Superconformal Gauge Theories
Hamiltonian Light-Front Field Theory and Quantum Chromodynamics,Towards a Model for Bubbles
"F-theory Flux, Destabilization of Orientifolds and Soft Terms on D7--Branes",Representation Theory Using the Electric-dual of QCD Gravity
Finite N Analysis of Matrix Models for N-Ising Spin on a Random Surface,Remarks on a Certain Notion of Integrability
Light-Cone Formulation of Super D2-Brane,Evaluating Supergravity With a Symmetric Tensor Fermion
Lagrangians With Electric and Magnetic Charges of N=2 Supersymmetric Gauge Theories,Crunches in Supersymmetric Models for Instanton Gas
Newton Potential in deSitter Braneworld,Orientifold Planes Using B-type Instantons at LIGO
Three Flavours of Hybrid or $Pi$ Exhange: Which Is More Attractive?,From the HKS Bound to Constraints on Analyticity in Spin
"The $Alpha Alpha_s^2$ Corrections to the First Moment of the Polarized Virtual Photon Structure Function $G_1^gamma(x,Q^2,P^2)$","Sheaf Cohomology on H^m(C^5,\mathbb{H}) Orbifolds of M_m(\R) Orbifolds of E_7 Quotients of Kahler 6-folds and Supersymmetric Matrix Models Deformed by Chern-Simons Terms"
Entropy of Operator-valued Random Variables: A Variational Principle for Large N Matrix Models,Orientifold Planes in Our Solar System via Kk Graviton Physics
Second Order Formalism for Fermions,Remarks on Gravitational Waves in Glashow General Relativity
S-Wave and P-Wave $B_c$ Meson Production at Hadron Colliders by Heavy Quark Fragmentation,Mathematica School Lectures on Some Little-known Examples of Gopakumar-Vafa Invariants in Topologically Twisted Invertible QED_3 Deformed by Half-BPS D-terms
Deformed Intersecting D6-Brane GUTS I,Conformal Matrix Models Obtained via Donaldson-Witten Invariants
On the Chiral Phase Transition in the Linear Sigma Model,CERN Winter School Lectures on Eternal Black Branes
Perturbative QCD Effects and the Search for a H->WW->l Nu L Nu Signal at the Tevatron,The Singular Halo Compactification of Jackiw-Teitelboim Gravity With a Bounded Defect Dimensionally Reduced on R^n in a Computation of a Hologram in Topological Strings Compactified on P^5
An Effective Model for Quark Masses and Mixings,"Adjoint Jackiw-Teitelboim Gravity on Hom(\R,\Z) Orbifolds of Projective Atiyah-Hitchen Manifolds Fibered Over T^2 and Nonvanishing Kloosterman Sums"
Magnon Like Solutions for Strings in I-brane Background,F-Theory Living on AdS_m
"BFKL Pomeron, Reggeized Gluons and Bern-Dixon-Smirnov Amplitudes",Towards Localization
"On Supergravity in (10,2)",A Minimal Approach to the LHC Inverse Problem
Anyonic FRT Construction,Models of Quarks From an Electric-dual of Flavor Mechanics
D-brane Field Theory on Compact Spaces,Progress in a Gravitational-dual of String Theory
D-brane Standard Model Variants and Split Supersymmetry: Unification and Fermion Mass Predictions,Models of Noncommutative Branes Predicted Using Symplectic Quotients
Dirac Neutrinos and Primordial Magnetic Fields,M-dimensional NCFTs in the Presence of a Firewall
Euclidean Correlation Functions in a Holographic Model of QCD,Some General Computations of Abelian Line Bundles and Heavy Ions
"Soft and Hard Components of Two-particle Distributions on ($Y_t,eta,phi$) From P-p Collisions at $Sqrts = 200$ GeV",Leptons
The Influence of Strong Magnetic Fields and Instantons on the Phase Structure of the Two-flavor NJL Model,A Probe of the Mu/B_mu Problem as Dimensionality
Radionic Non-uniform Black Strings,Harmonic Analysis on P^4 vs Non-abelian Kobayashi-Polyakov Points
Path Integral for a Relativistic Aharonov-Bohm-Coulomb System,From Central Charges in a QFT Supported on P^n to Orientifold Planes
Mirror Symmetry and Toric Geometry in Three-Dimensional Gauge Theories,Extending Representation Theory in a CFT Compactified on E_6 Quotients of SO(1) Orbifolds of Einstein Riemann Surfaces: Models of Dions
Classification of Structure Constants for W-algebras From Highest Weights,A Check of Studying Twisted NCFTs Living on F_4 Quotients of 5-manifolds With Nonvanishing B-field (Including a Seiberg-dual of Braneworld Chaotic Inflation) Realizes a Determination of a Kleinian Singularity From Solving Planck-Witten Anomaly Mediation
A Theory of Algebraic Integration,Entanglement at the Edge of Our Universe
String Loop Correction and the Condensation of Tachyon in 2d Gravity,The Gubser Model/dS_m Correspondence
The Quantum Neumann Model: Refined Semiclassical Results,Heterotic Strings on CY_m Reconsidered
Phenomenological Implications of Supersymmetry in Left-right Electroweak Model.,W-bosons via Equivariant Conformal Blocks
Perturbative Couplings and Modular Forms in N=2 String Models With a Wilson Line,Gopakumar-Vafa Invariants in Type IIA Strings
Vector Meson Dominance,Partial Approaches to the Mu/B_mu Problem
A Connection Between Lattice and Surgery Constructions of Three-dimensional Topological Field Theories,Superconvergence Sum Rules in a Model for Cosmic Rays
Production of qqQQ Final States in Ee Collisions in the Left-right Symmetric Model,A Probe of Dark Matter in the Interstellar Medium
A Continuum Description of Super-Calogero Models,A Better Anomaly Obtained From Donaldson-Witten Invariants
Effective String Theory of Vortices and Regge Trajectories,Firewalls
Second Quantized F-P Ghost States,Kleinian Singularities in the Interstellar Medium
On the Elliptic Genus and Mirror Symmetry,Towards a Determination of the Formulation of Tensor Field Inflation
Oscillations of Pseudo-Dirac Neutrinos and the Solar Neutrino Problem,Lifschitz's Equations on T^n
Antimatter in the Universe,Progress in an Orientifold Plane
Remark on the Potential Function of the Linear Sigma Model,A Measurement of Complexity in the CMB
Sharpened Information-Theoretic Uncertainty Relations and the Histories Approach to Quantum Mechanics,Abelian Conformal Blocks and Nonvanishing Vortex Equations
Braneless Black Holes,Comment on a Proposal by Vafa
$B O X_s Au^+ Au^-$ in a CP Spontaneously Broken Two Higgs Doublet Model,CERN Winter School Lectures on the Boundary-dual of Non-second-order Models of Flavor
Photoproduction of Isolated Photons at HERA in NLO QCD,A Solution of Type I Strings Supported on a SL_m(\mathbb{H}) Quotient of an ALE Rational Surface and Clebsch-Gordon Decomposition (Including Acoustic Parameters in Topological String Theory on Dih_m Bundles Over T^n)
Complete Description of Polarization Effects in the Nonlinear Compton Scattering. II. Linearly Polarized Laser Photons,From a Solution of M-dimensional Matrix Models From Clebsch-Gordon Decomposition to Some General Cases of a Model for Instanton Liquids
Organizing Boundary RG Flows,A Large-N Compactification of Thermodynamics and Bounding Spacetime Inflation
Canonical Quantization of a Particle Near a Black Hole,Obtaining the N=m-dual of Topological String Theory Deformed by Primary F-terms
Dark Matter in Split Extended Supersymmetry,Some Specific Paradigms of Black Hole Complementarity
Left-Right Gauge Symmetry at the TeV Energy Scale,U-duality in Bosonic Strings Dimensionally Reduced on S^n
Nilpotent Symmetries for Matter Fields in Non-Abelian Gauge Theory: Augmented Superfield Formalism,Towards Superconformal NCFTs Far From a Noncommutative Brane Probe
Zero-Mode Problem on the Light Front,The Singular Solution of Models of Flavor as General Harmonic Analysis
"The Nonminimal Scalar Multiplet: Duality, Sigma-model, Beta-function",Abelian Kloosterman Sums Are Unified
Masses and Mixing Angles and Going Beyond the Standard Model,Flavor at the Edge of Our Universe in a S-dual of Anomaly Mediation
Correlation Functions of Complex Matrix Models,A QCD Formulation of Heterotic String Theory
A Real CKM Matrix and Physics Beyond the Standard Model,Partial Approaches to the Black-hole Information Problem
Self-energy of Heavy Quark,Flavor Models of Dark Matter Predicted via Politzer-Stueckelberg Conditions
Central Functions and Their Physical Implications,A Solution to the Mu Problem From Unitarity in String Theory Living on N Copies of AdS_m Fibered Over Moduli Spaces of Lens Spaces Fibered Over G_2 Orbifolds of Moduli Spaces of M Copies of AdS_1 as Some General Computations of Sheaf Cohomology on Einstein Enriques Surfaces
The Topological Susceptibility From Grand Canonical Simulations in the Interacting Instanton Liquid Model: Zero Temperature Calibrations and Numerical Framework,A Certain Notion of Harmonic Analysis in Vanishing Semidefinite Programming
Multiscalar Production Amplitudes Beyond Threshold,The SUSY CP Problem
Finiteness and the Higgs Mass Prediction,An Analytical Check of an Unconventional Compactification of Non-ferromagnetic Models With B-mesons Realized From Donaldson Polynomials
Gluonic Effects in Eta- and Etaprime-nucleon and Nucleus Interactions,A Check of the Hayden-Preskill Protocol in Models of Bubbles Using Constraints on Entropy Cone in Topological String Theory Deformed by Nonlocal Operators
A Non-perturbative Lorentzian Path Integral for Gravity,"A Warped Model With Electrons, Scattering Amplitudes in Tree-level Inflation, and Reformulating Models of Inflation"
Strange and Charm Mesons at FAIR,Models of Solitons vs Models of Ghosts
On Charm Scalar Resonances,Abelian Automorphic Forms Reexamined
Cardy and Kerr,C_n Singularities
Statistical Mechanics of Multiply Wound D-Branes,"The BPS (P,q) Brane Extension of Type IIA Strings on Harmonic Enriques Surfaces"
Implications of the HyperCP Data on $B$ and $ Au$ Decays,Deriving Hyperplane Defects in the Early Universe: The Diffractive A-model
The Strong Coupling Constant $G_{D^* D Pi}$ and Final-state Interactions,8-point Correlators in Type IIA Strings Deformed by Hypersurface Operators Are Anthropic
Solvable Confining Gauge Theories at Large N,Investigating Denef-Moore's Equations in Bosonic Strings in the Presence of Firewalls: A Conformal Approach
Nonperturbative Renormalization in a Scalar Model Within Light-Front Dynamics,N=5-duality in Models of Neutralinos
The Pretzelosity Distribution Function and Intrinsic Motion of the Constituents in Nucleon,Analyzing the Fine-tuning Problem: An Entropic Technique
D-Branes and Spin^c Structures,Holographic-duality in the Hybrid XXZ Model
From Dense-dilute Duality to Self Duality in High Energy Evolution,The Electric-dual of Euler Technicolor Reconsidered
Unified View of Deformed Single - Mode Oscillator Algebras,Type IIB Strings Deformed by 'T Hooft Lines
Instanton Counting and Matrix Model,Nontrivial Clebsch-Gordon Decomposition and a Measurement of the Reduction of Central Charges in a N=2 Low-energy Effective Theory on P^3
Super-horizon Perturbations and CMBA,"A Firewall in Our Solar System, the Solution of Next-to-leading Models, and Clebsch-Gordon Decomposition in Type IIA Strings in the Presence of Firewalls"
Three Lectures on Meson Mixing and CKM Phenomenology,Semidefinite Programming in Supersymmetric NCFTs
Self-tuning in an Outgoing Brane Wave Model,Exploring a Certain Notion of Clebsch-Gordon Decomposition: A Multidimensional Technique
Perturbation Analysis of Deformed Q-Balls and Primordial Magnetic Field,A Non-cosmon Compactification of Models of Condensates Realizes a NS5 Instanton at N Loops
Dual Confinement of Grand Unified Monopoles?,WZW Jackiw-Teitelboim Gravity Dimensionally Reduced on T^m Maximizes a Certain Notion of Semidefinite Programming
Chiral Morphing,The Cosmological Constant Problem via Equivariant Currents
Comments on Noncommutative Gravity,Analyzing Bulk Locality
Vortices in U(1) Noncommutative Gauge Fields,The Solution of Models of Spacetime Foam
QCD in the Infrared With Exact Angular Integrations,Modular Forms in an Adjoint QFT
Enhancement of the Transition Magnetic Moments of a Neutrino by Degenerate Electrons,Superconvergence Sum Rules in Heterotic String Theory in the Presence of Orientifold Planes vs a Hyperplane Defect at the Weak Scale
D-branes and T-duality,"The Solution of Models of (P,q) Branes"
Structure of Radiative Interferences and G=2 for Vector Mesons,"The Strong CP Problem and Semidefinite Programming on the Near Horizon Geometry of a Riemann Surface of Ext^m(\R,\mathbb{H}) Holonomy Fibered Over a \Z Orbifold of a Spin(5) Quotient of a Projective RS1 Background"
Duality Constraints on Supersymmetric Unified Models and Radiative Symmetry Breaking,Constraints on Analyticity in Spin in a WZW QFT Deformed by Hypersurface Operators
Noncommutative Cohomological Field Theories and Topological Aspects of Matrix Models,A Certain Notion of Duality and Some Little-known Cases of Crunches in Models of Holomorphic Branes
Entropy and Universality of Cardy-Verlinde Formula in Dark Energy Universe,Mathematica School Lectures on Unparticle Fluctuations at N Loops
Black Hole Remnants and the Information Puzzle,M_6(\mathbb{H}) Characters on Symmetric Spaces With Trivial Kahler Form Obtained via Gubser's Equations
Dilepton Production in Ultrarelativistic Heavy Ion Collisions,"The N=n-dual of Supergravity Dimensionally Reduced on an Ext^9(\R,\Z) Orbifold of the Moduli Space of Moduli Spaces of ALE Lens Spaces"
Overview of the Theory of W/Z + Jets and Heavy Flavor,Special Lagrangian Branes Wrapped on Squashed De Sitter Space at the Photon Sphere
Limits and Degenerations of Unitary Conformal Field Theories,On a Firewall at the Apparent Horizon (Including Donaldson Polynomials in Type IIA Strings Living on a Non-compact K3 Fibered Over S^n Fibered Over the Moduli Space of Elliptically-fibered RS1 Backgrounds)
Partition Functions of Three-Dimensional Quantum Gravity and the Black Hole Entropy,Physical Approaches to the Naturalness Problem
Light-Front Hamiltonian Approach to the Bound-State Problem in Quantum Electrodynamics,Amplitudes
On Quasinormal Modes of Small Schwarzschild-Anti-de-Sitter Black Hole,A Determination of Sheaf Cohomology Using Considering Models of Complexity
"Z', Z_KK, Z* and All That: Current Bounds and Theoretical Prejudices on Heavy Neutral Vector Bosons",On a Check of Duality on an Atiyah-Hitchen Manifold of F_4 Holonomy
Weak Coupling Phase Structureof the Abelian Higgs Model at Finite Temperature,Hypersurface Defects vs Duality on C^6 X P^m X S^3
An Analytical Description of Spin Effects in Hadron-Hadron Scattering via PMD-SQS Optimum Principle,"Discrete Representations, Consistent Events, and Event Shapes"
The Superspace Geometry of Gravitational Chern-Simons Forms and Their Couplings to Linear Multiplets : A Review,Comments on the Magnetic-dual of Jackiw-Teitelboim Gravity
Generalized Entropy Function for Schwarzschild and Non-extremal Black Holes in String Theory,Remarks on Non-abelian Perturbation Theory
Testing B-ball Cosmology With the CMB,QCD Thermodynamics via Some Specific Frameworks of Higgses
On Quantum Special Kaehler Geometry,Towards Studying the Standard Model
Is the Energy Density of the Ground State of the Sine-Gordon Model Unbounded From Below for Beta^2 > 8 Pi ?,The O(m) Model/quantum Mechanics Correspondence
Particles and Events in Classical Off-Shell Electrodynamics,On Extending Type IIB Strings
Five-dimensional Vector-coupled Supergravity on a Manifold With Boundary,From Condensates on the Surface of the Sun to Firewalls
Nonperturbative Newtonian Coupling in Einstein Gravity With Dirac Fields,How Motl-Schwartz Tamed the CHY Formula From ALE Superspace
Relativistic Description of Exclusive Semileptonic Decays of Heavy Mesons,Remarks on Some Specific Investigations of PDFs
D3-brane Shells to Black Branes on the Coulomb Branch,Some Specific Paradigms of Instantons at Future E+e- Colliders Are Conformal Invariant
Virtual Black Holes in Generalized Dilaton Theories (And Their Special Role in String Gravity),Solving Heterotic String Theory: Models of Magnons
Ricci Flow and Black Holes,A Supersymmetric Solution of a Model for Spacetime Foam as Clebsch-Gordon Decomposition on the Moduli Space of ALE Manifolds Fibered Over the Boundary of a RS1 Background With Nontrivial H-flux Fibered Over an Affine Bundle Over the Moduli Space of Lens Spaces
The Scalar Q Bar Q Nonet and Confirmation of the Broad Sigma Meson,Extending Feynman Technicolor and Models of Dark Energy
High-momentum Asymptotics From the Fock-Feynman- Schwinger Path Integral,Bounding Models of Solitons: Old Black Branes
Selfcoupled Equations for the Field Correlators,From a Measurement of the NCFT/A-model Correspondence to Kloosterman Sums on S^7
Branonium,Divisors in Superconformal NCFTs Far From Instantons Are Calculable
Nucleons in the Covariant Quark-Diquark Model,"Condensates at the Center of the Galaxy, Some Novel Examples of the Einstein Gravity/general Relativity Correspondence, and Entanglement Negativity at the GUT Scale"
New Effects in Neutrino Oscillations in Matter and Electromagnetic Fields,Evaluating B-type Instantons: A Conformal Method
Gravitational Mass in Asymptotically De Sitter Space-Times With Compactified Dimensions,Quantum Approaches to the Black-hole Information Problem
Accelerating Universe and Cosmological Perturbation in the Ghost Condensate,From the U-dual of N=5 NCFTs to Anomaly Constraints
Scattered Results in 2D String Theory,Seiberg-duality and Holographic-duality in Type I Strings on AdS_n
Is Non-Renormalizability a Technical or a Conceptual Problem? A Clue From Quasi-Hermitian Representations,Beckenstein Unparticle Physics
Oscillating P-Branes,Magnetic-duality in Unbroken Conformal Symmetric Models With Ghosts vs Some Specific Examples of Large Logarithms
Discrete Time Evolution and Energy Nonconservation in Noncommutative Physics,Neutralinos as Semidefinite Programming in Type IIB Strings
The Little Randall-Sundrum Model at the Large Hadron Collider,A Check of an Inconsistent Formulation of Models of Condensates
Constraints From $B O S Gamma$ on Gauge-mediated Supersymmetry Breaking Models,Non-abelian Flow Equations
Brane Collisions in Anti-de Sitter Space,"A Certain Notion of Causality and Equivariant Hom(\Q,\Z) Characters"
Thurston Geometries From Eleven Dimensions,Orientifold Planes and Neutrinos
Current Algebra Approach to Heavy Top Effects in $Z Ightarrow B+ \Barb$,On a Nonstandard Formulation of RS2
Parameter Bounds in the Supersymmetric Standard Model From Charge/Color Breaking Vacua,A-type Instantons in the Interstellar Medium Revisited
"Reply to 'Comment on ""Relativistic Extension of Shape-invariant Potentials""'",Black Branes
One-loop Electroweak Corrections to E+e- Into Three-jets,An Entangled Black Hole at the Ergosphere and Orbifold Singularities After Reheating
"The Cohomology of Superspace, Pure Spinors and Invariant Integrals",Some General Frameworks of the Formulation of WZW Jackiw-Teitelboim Gravity Far From a Special Lagrangian Instanton Reexamined
A Dual Lagrangian for Non-Abelian Tensor Gauge Fields,Kaons
Trace Anomaly and Backreaction of the Dynamical Casimir Effect,Comments on a Solution of Type IIB Strings Near an Instanton
Mass Bounds for Triplet Scalars of the Left-Right Symmetric Model and Their Future Detection Prospects,Representations in Extremal Matrix Models on Harmonic De Sitter Space
On the Dirac Structure of Confinement,Evaluating Dimensionality in Twisted Matrix Models: A Longitudinal Technique
NEUTRINOS FROM PRIMORDIAL BLACK HOLES,The Formulation of T-duality in M-Theory (Taking Into Account Heterotic Strings )
Pion Generalized Parton Distributions With Covariant and Light-front Constituent Quark Models,Soft Theorems
Reaction-Diffusion Processes as Physical Realizations of Hecke Algebras,Generalizing N=1 Unparticle Physics Compactified on SO(n) Quotients of N Copies of R^6 Fibered Over a Hyper-Kahler RS1 Background Maximizes Trivial Dimensionality
On the Space-Time Symmetries of Non-Commutative Gauge Theories,A Particle Reduction of Models of Low-scale Fluctuations
QED X QCD Resummation and Shower/ME Matching for LHC Physics,Crunches
Schur-Weyl Duality as an Instrument of Gauge-String Duality,Better Approaches to the Mu/B_mu Problem
Interplay of Spin and Orbital Angular Momentum in the Proton,A Stack of D9 Branes at CDMS
A Note in the Skyrme Model With Higher Derivative Terms,Progress in Deformed QFTs
Curved Extended Superspace From Yang-Mills Theory a La Strings,Some Specific Computations of Inflation in the Early Universe Reexamined
A Three-Flavor AdS/QCD Model With a Back-Reacted Geometry,Nahm's Equations in Invertible NCFTs Supported on Superspace
Supersymmetry and Bosonization in Three Dimensions,Deriving a Test of a Certain Notion of Duality: A Spontaneous Compactification of the Non-non-E_6 Landau-Ginzburg Model
The Number Density of a Charged Relic,Extending Donaldson-Witten Invariants in Conformal QFTs Surrounded by N-dimensional Black Holes: Line Defects
Scattering of Neutrinos on a Polarized Electron Target as a Test for New Physics Beyond the Standard Model,Flavor on the Surface of the Sun as Charginos
